CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/26/2022,14:54,MANHATTAN,10001,21.9378263,96.1206227,"(21.9477432, 96.1303347)",AVENUE OF THE AMERICAS,WEST 31 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513708,Sedan,Taxi,,,
03/25/2022,6:35,BRONX,10472,21.9477432,96.1303347,"(21.9577603, 96.1402913)",,,1700      CROSS BRONX EXPRESSWAY,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4514189,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/25/2022,14:00,,,21.9577603,96.1402913,"(21.9378263, 96.1206227)",LEONARD AVENUE,FISKE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514419,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
03/21/2022,19:13,,,21.9378263,96.150318,"(21.9378263, 96.1206227)",WASHINGTON SQUARE NORTH,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514234,Sedan,Bike,,,
03/26/2022,5:02,BROOKLYN,11223,21.9477432,96.1603192,"(21.9477432, 96.1303347)",CONEY ISLAND AVENUE,QUENTIN ROAD,,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,,,,4513496,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/25/2022,9:45,,,21.9577603,96.1206227,"(21.9577603, 96.1402913)",CROSS ISLAND PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,4514266,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
03/26/2022,22:54,BROOKLYN,11217,21.9378263,96.1303347,"(21.9378263, 96.1206227)",,,177       4 AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4513680,Taxi,Sedan,,,
03/26/2022,21:00,BROOKLYN,11219,21.9477432,96.1402913,"(21.9378263, 96.1206227)",,,1115      63 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513861,Sedan,,,,
03/26/2022,17:29,BROOKLYN,11213,21.9577603,96.150318,"(21.9477432, 96.1303347)",EASTERN PARKWAY,UTICA AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4514326,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,2:10,MANHATTAN,10018,21.9378263,96.1603192,"(21.9577603, 96.1402913)",WEST 38 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4513739,Bike,,,,
